,ISIN,Ticker,Company,Sector,Industry,Business Activity,Country,Market Cap,Size,1M(%),3M(%),6M(%),YTD(%),Date,Asset Turnover,Current Ratio,Debt/Assets,Debt/Equity,Dividend Coverage Ratio,Dividend Payout Ratio,EBITDA Margin,EBITDA Y/Y,EPS Y/Y,EV/EBITDA,EV/FCF,EV/Revenue,Earnings Retention Rate,FCF Yield,Gross Profit Margin,Interest Coverage Ratio,Net Profit Margin,Operating Profit Y/Y,PE,PEG,Price/Book,Price/Sales,Quick Ratio,ROA,ROE,ROIC,Reinvestment Rate,Revenue Y/Y,Working Capital/Assets
299,US8636671013,SYK,Stryker Corp,Healthcare,Healthcare Equipment & Supplies,Medical Devices & Implants,United States of America,83053000000.0,Large Cap >10B,-7.998665561,7.88510346,10.32596334,-9.806562194,2020-12-31,-0.2168168239443427,1.92561,38.53772,101.11587,180.68062073181,,26.75772,,,26.6379537998125,53.0823780961495,7.12770835421086,,2.99392484360123,60.53934,,11.14208,,38.7639942860126,-2.49950404100505,7.03788867935041,6.49353438784754,1.23249,4.95837015675148,12.3517824726739,6.36912230387764,5.51553051458036,,0.13592
300,US65339F1012,NEE,Nextera Energy Inc,Utilities,Electric Utilities & IPPs,Electric Utilities (NEC),United States of America,158430000000.0,Large Cap >10B,7.354307713,9.772428997,16.04664433,4.821775762,2020-12-31,-0.709312680194622,0.47448,37.66408,107.03777,106.427826005015,,50.44174,,,22.7522106925094,,11.4766110277602,,0.813648492660212,57.82075,2.44256,13.1633,,59.2004297114794,-2.05077097522315,4.13941706920687,8.44075957103962,0.37473,1.93092205807438,7.94091242960908,5.44594842154003,0.479600169754346,,-0.06403
301,US1598641074,CRL,Charles River Laboratories International Inc,Healthcare,Biotechnology & Medical Research,Biotechnology & Medical Research (NEC),United States of America,12886000000.0,Large Cap >10B,4.186776062,13.15191753,29.79757491,3.678059713,2019-12-28,0.06091868546098323,1.43812,40.23643,113.30569,,0.0,22.15425,0.123,0.132,15.6725350995242,26.7351841985829,3.47213283984288,1.0,4.50898577159766,33.14377,6.14766,9.69245,0.076,26.0198218533621,2.26585371166386,4.54846466489913,2.8802772023473,1.2119,5.94387266602555,17.0749438669664,9.26726473384908,17.0749438669664,0.157,0.0663
302,US45104G1040,IBN,ICICI Bank Ltd,Financials,Banking Services,Banks (NEC),India,50877000000.0,Large Cap >10B,3.708791209,41.51827554,57.94979079,1.615074024,2020-03-31,-0.8160182176525542,,15.94186,169.21606,972.127151649286,0.0,23.53786,1.83,1.846,14.5537849015522,4.6941094048428,3.42564930316899,1.0,39.2722906477434,,0.52395,13.48816,2.042,11.2878807999788,0.085469342492118,1.69727508838529,1.87969247616444,,1.10676078669178,10.7717409857172,2.82678689735263,10.7717409857172,0.13,
303,US6460251068,NJR,New Jersey Resources Corp,Utilities,Natural Gas Utilities,Natural Gas Distribution,United States of America,3365600365.0,Mid Cap 2-10B,-0.142612664,22.03152583,11.68683889,-1.518987342,2020-09-30,-0.2857521481900708,1.16602,45.36937,146.72777,159.496471517165,,17.46888,0.389,0.078,14.3196685482472,,2.50148631232123,,-9.13023616386194,27.08009,3.20107,9.92589,0.406,13.251853886295,1.69934586791671,1.57707440440927,1.31536737050512,0.81395,4.0026783736806,12.1365759871424,7.34830800494347,4.52726910298587,-0.246,0.01667
304,US8085131055,SCHW,Charles Schwab Corp,Financials,Investment Banking & Investment Services,Investment Banking & Brokerage Services (NEC),United States of America,96715000000.0,Large Cap >10B,-1.903311762,28.3737306,52.66583692,-2.828054299,2020-12-31,-0.904053122901001,,2.47723,24.24242,,,40.4988,,,14.8511162742577,,6.01452425542654,,,96.54802,,27.2442,,21.8400128470664,-1.21334788833759,,6.2856057477909,,0.782676259334168,8.10904439588552,6.67307206068268,,,
305,US29274F1049,ENIA,Enel Americas SA,Utilities,Electric Utilities & IPPs,Electric Utilities (NEC),Chile,11429000000.0,Large Cap >10B,-8.450698432,15.38296354,-0.3372021295,-8.339324586,2019-12-31,-0.12483123593411143,0.97704,21.38693,52.00193,199.999876090865,,26.90342,0.182,0.179,6.05451017051363,,1.62887043943107,,2.55413440265901,34.97474,7.01669,15.15821,0.213,8.21548821548822,0.498078554305735,1.58942980119116,1.00457148082234,0.91821,7.59020120428022,19.34159941451,11.7770163696073,9.67079371574918,0.102,-0.00519
306,US05351W1036,AGR,Avangrid Inc,Utilities,Multiline Utilities,Multiline Utilities,United States of America,14320000000.0,Large Cap >10B,2.662524961,-6.297597907,-6.210606881,1.804180418,2019-12-31,-0.6371871004788238,0.56454,23.44549,51.77082,128.440366972477,,30.65636,-0.039,0.093,12.377102272527,,3.79436884119912,,-7.24354741587435,61.45472,3.22654,10.66583,-0.145,23.6339782323484,2.43920474426055,1.03752111140494,2.49838794502998,0.49456,2.0305483381644,4.61421838436439,4.2038322030399,1.02171978510926,-0.018,-0.04539
307,US0078001056,AJRD,Aerojet Rocketdyne Holdings Inc,Industrials,Aerospace & Defense,Aerospace & Defense (NEC),United States of America,3980358449.0,Mid Cap 2-10B,-1.75571078,58.27250608,27.6115743,-1.532639546,2019-12-31,0.3071896382852496,1.63007,23.52463,110.45604,,0.0,14.47893,0.005,-0.032,11.4934561343325,15.1052339209345,1.66412948016149,1.0,5.85188485377794,18.09235,7.27397,7.11582,-0.004,26.8956864408277,-8.42311097992915,6.05685966550641,1.88262528387585,1.60248,5.42526789665057,27.7354709418838,14.3739979153964,27.7354709418838,0.045,0.20242
308,US7477981069,QD,Qudian Inc,Technology,Financial Technology (Fintech) & Infrastructure,Business to Consumer,China,382380097.0,Small Cap 300M-2B,70.33898305,47.79411765,18.23529412,45.65217391,2019-12-31,-0.10660393372083471,4.368,18.45766,28.42257,,0.0,56.72267,0.704,0.344,1.70502128689564,1.57536446947483,0.967133589666269,1.0,,89.79884,208.57869,36.92615,0.704,2.21770206514676,0.086965903106653,,1.10576355189575,4.36571,18.8978084490431,28.7582457976072,21.6376967500038,28.7582457976072,0.1,0.71487
309,US4830077040,KALU,Kaiser Aluminum Corp,Basic Materials,Metals & Mining,Primary Aluminum Production,United States of America,1370915052.0,Small Cap 300M-2B,-8.443401061,35.9381757,37.60839395,-11.70203835,2019-12-31,0.7457516578516596,4.57629,33.86843,70.43194,157.360406091371,,13.26861,0.071,-0.297,9.62437148113489,14.5707327095705,1.27702016416353,,9.57840188254946,16.49825,6.09639,4.09484,0.057,16.5751884869031,-0.976904786999194,2.39765117105227,1.18667899742421,3.53404,4.20981157698184,8.41077121345723,6.87682016745512,3.06586176490538,-0.045,0.39929
310,US0200021014,ALL,Allstate Corp,Financials,Insurance,Property & Casualty Insurance (NEC),United States of America,32590000000.0,Large Cap >10B,-0.3162202381,21.611653,15.27001725,-2.501591922,2020-12-31,-0.350150484230547,,6.21096,25.89602,831.658138401559,12.02417139718,,,,,,0.956535868772298,0.8797582860282,,,26.66667,12.44893,,5.20451869446261,0.271433917642284,1.18308921782015,0.774327766738854,,4.53449460634227,21.0050579841145,16.5012583004128,18.4793738100275,,
311,US88162G1031,TTEK,Tetra Tech Inc,Industrials,Professional & Commercial Services,Environmental Services & Equipment (NEC),United States of America,6592610169.0,Mid Cap 2-10B,5.200761509,19.64445084,38.37185452,5.000863707,2020-09-27,0.7618388105935847,1.26004,12.26201,28.11515,500.414471979967,19.9834348523804,11.33621,0.124,0.132,18.9756042528705,23.4443475629145,2.15111391121073,0.800165651476196,4.98344283906982,19.01304,16.69278,7.40407,0.162,27.4506619020547,2.17973990124499,4.73288697807811,2.13802588125891,,7.68410544842803,17.1576602248588,14.2503238144166,13.7289703716314,-0.017,0.08675
312,US09247X1019,BLK,BlackRock Inc,Financials,Investment Banking & Investment Services,Investment Management & Fund Operators (NEC),United States of America,106970000000.0,Large Cap >10B,-0.7107662683,17.01528281,22.79017408,-2.810654988,2019-12-31,-0.8320030501107731,,2.93853,14.74132,213.549618320611,,50.15157,0.038,0.069,13.3523373427804,148.92606968839,6.69640629956214,,3.32259852812477,,27.34483,38.11047,0.006,17.6842964362291,2.54950285364992,2.31331284622613,6.66511567650724,,2.75811636374716,13.5798910817494,11.8229298738606,7.22076424811517,0.03,
313,US20441B4077,ELP,Companhia Paranaense de Energia,Utilities,Electric Utilities & IPPs,Electric Utilities (NEC),Brazil,3199830105.0,Mid Cap 2-10B,-13.83512545,12.68178567,0.09164202459,-15.94405594,2019-12-31,-0.22796421520710633,1.47957,30.45659,66.30615,339.340331778123,29.4689403632058,25.58238,0.282,0.309,6.45860820326379,13.3106284094527,1.65226573186796,0.705310596367942,13.1069891538777,27.30863,3.36361,12.69905,0.261,7.60784137605821,0.226009121536886,1.052331933970795,1.12573591604587,1.45516,5.56549409750315,11.9759099230892,9.39671174444964,8.44673616990278,0.007,0.06691
314,US57778K1051,MAXR,Maxar Technologies Inc,Technology,Communications & Networking,Satellite Communications Network,United States of America,2561726893.0,Mid Cap 2-10B,21.79836512,51.35622444,136.2542993,9.002235318,2019-12-31,-0.4129842653712511,1.26606,57.16502,,,3.6144578313253,21.96879,0.356,-1.092,10.4484035931148,,2.29538758408163,0.963855421686747,-5.93639156438759,18.90756,-0.05076,4.98199,-0.941,,0.104102274069067,1.23342025784544,0.566226890756303,1.24598,1.62506118453255,11.6327960756833,7.90317499212372,11.2123335669236,-0.076,0.05139
315,US92857W3088,VOD,Vodafone Group PLC,Technology,Telecommunications Services,Wireless Telecommunications Services (NEC),United Kingdom,45901000000.0,Large Cap >10B,3.064903846,30.60433694,9.918556861,4.065533981,2020-03-31,-0.4742485502797919,1.00579,44.43057,119.31018,-38.174273858921,,41.42393,0.296,-0.815,4.74127921305441,15.8724225946457,1.96402436383697,,21.5585765902576,31.77836,1.61099,-1.0117,0.069,,,0.55467704354621,0.810767250169526,0.98777,-0.29245784929827,-1.48662821458612,-1.96976207402982,-5.38094777670847,-0.011,0.00112
316,US2091151041,ED,Consolidated Edison Inc,Utilities,Electric Utilities & IPPs,Electric Utilities (NEC),United States of America,24215000000.0,Large Cap >10B,0.02826455625,-10.4133896,-5.855852356,-2.061713021,2019-12-31,-0.5807950227819823,0.6795,37.30436,118.95899,138.311019567456,,34.67473,0.096,-0.104,11.6860043604954,,4.052089948446,,-1.90205490699136,65.66725,3.05829,11.4522,0.053,22.1964881117406,-2.12619556939356,1.67165187364699,2.3707543343407,0.62351,2.57145153081724,7.72994129158513,5.343750924364,2.14113042477265,0.019,-0.03469
317,US0527691069,ADSK,Autodesk Inc,Technology,Software & IT Services,Application Software,United States of America,61004000000.0,Large Cap >10B,-6.937036664,14.24394663,16.26922593,-9.140630117,2020-01-31,0.03957792844564513,0.82607,33.73845,,,0.0,14.29924,3.177,-3.278,,31.9807595592187,13.3019565842165,1.0,3.10942284805918,88.88923,,6.84421,,,0.596299323059694,,13.3766377546346,,4.10872255580511,,11.0062086305095,,0.274,-0.09061
318,CA7800871021,RY,Royal Bank of Canada,Financials,Banking Services,Banks (NEC),Canada,115240000000.0,Large Cap >10B,-0.6163011948,12.55425895,13.58435195,-0.03666589244,2020-10-31,-0.9070337590487473,,19.01286,,182.68695794469,,47.66203,0.109,-0.106,16.7710384297831,2.53017868792503,7.99341703673316,,,,137.74797,27.82454,0.07,9.64872669122003,-1.12382227642961,1.64011283610121,3.23823017711172,,0.749111752054948,14.0839562241776,3.07159403086756,6.37461759232977,0.056,
319,US6752321025,OII,Oceaneering International Inc,Energy,Oil & Gas Related Equipment and Services,Oil Related Services and Equipment (NEC),United States of America,839124191.0,Small Cap 300M-2B,5.625,119.4805195,36.29032258,6.289308176,2019-12-31,0.2635446732840084,2.07076,29.06289,74.06633,,,6.44819,-0.412,0.746,14.3395692317536,,0.924643180652148,,0.670514449616913,4.79678,-2.73108,-17.41418,0.69,,,1.37940222203102,0.71980073472114,1.77998,-12.8165908775256,-28.7796928968632,,,0.073,0.23479
320,US6247581084,MWA,Mueller Water Products Inc,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrial Machinery & Equipment (NEC),United States of America,1898204344.0,Small Cap 300M-2B,-0.8271298594,14.40736219,18.31051315,-3.150242326,2020-09-30,0.21355588591128122,3.74968,32.17204,70.04838,217.522658610272,45.9722222222222,19.45856,-0.019,0.136,10.0330104077825,47.6504494303797,1.95227958977285,0.540277777777778,4.40573011929455,34.04211,5.11024,7.4681,-0.061,19.3410275502606,1.70141536999153,2.56328020920709,1.70921481174152,2.70129,5.27028510778465,11.6997075073123,8.59307776850242,6.32109197270068,-0.004,0.30552
321,US05967A1079,BSBR,Banco Santander Brasil SA,Financials,Banking Services,Banks (NEC),Brazil,26947000000.0,Large Cap >10B,-17.43645765,27.63798682,22.53162424,-16.09862247,2019-12-31,-0.8185946761759177,,24.88535,195.13129,151.916037037037,,41.23157,0.271,0.209,21.2851813209388,35.984971068309,8.77621504998681,,6.02414221217036,,0.77962,27.84569,0.271,21.2181640078366,1.04409823702694,1.763274064240145,5.9811039934527,,2.24139866275662,17.5122180443752,5.82301550334059,5.98465427564306,0.095,
322,US4464131063,HII,Huntington Ingalls Industries Inc,Industrials,Aerospace & Defense,Aerospace & Defense (NEC),United States of America,6370703590.0,Mid Cap 2-10B,-5.552887502,10.80193527,-9.32629477,-7.713514782,2019-12-31,1.2389455220380547,0.94444,18.29043,76.4566,368.456375838926,27.1402550091075,10.93381,-0.147,-0.305,11.7904229847482,52.8667353187097,1.28914277606023,0.728597449908925,3.52382800946466,17.20418,10.61429,6.16923,-0.204,17.969608956154,-0.619817673739009,6.08555532026423,1.16714597145747,0.87249,8.18547785895333,34.3339587242026,20.9906874093806,25.0156347717323,0.088,-0.01493
323,US5253271028,LDOS,Leidos Holdings Inc,Technology,Software & IT Services,IT Services & Consulting (NEC),United States of America,15095000000.0,Large Cap >10B,2.384400039,30.96160214,16.14204056,0.8942161339,2020-01-03,1.0681336455944257,1.20532,31.87787,87.3866,349.214659685864,28.6356821589205,10.21273,0.098,0.22,14.4790550842718,24.3755860482615,1.47870645488372,0.713643178410795,6.03829568930854,13.95349,6.07432,6.0393,0.16,21.4651913483282,0.984086637553853,4.10978089017986,1.30021633315306,,7.38821194243811,19.8482368695135,12.1748475495129,14.1645588454099,0.088,0.05114
324,US2774614067,KODK,Eastman Kodak Co,Technology,"Computers, Phones & Household Electronics",Photographic Equipment,United States of America,739996296.0,Small Cap 300M-2B,15.96130593,29.4197031,-71.11445783,17.81326781,2019-12-31,0.45049839758088717,1.91848,7.84452,112.12121,,,-1.36876,0.417,2.801,,,0.063597255756844,,-1.50037509377344,14.65378,-4.5,-7.32689,-0.153,,,2.02908795769024,0.160990338164251,1.33424,-6.22222222222222,-231.25,,-231.25,-0.063,0.23887
325,US92764N1028,VIR,Vir Biotechnology Inc,Healthcare,Biotechnology & Medical Research,Biotechnology & Medical Research (NEC),United States of America,8221661535.0,Mid Cap 2-10B,125.8222533,90.77741649,35.9595534,141.0007468,2019-12-31,-0.9135151556019571,6.80666,0.22204,0.2682,,,,0.496,4.433,,,,,-36.3086365536295,,,,0.5,,,3.19309124242355,,,,-142.735276693972,,-142.735276693972,-0.242,0.67137
326,US4282911084,HXL,Hexcel Corp,Industrials,Aerospace & Defense,Aerospace & Defense (NEC),United States of America,3647169535.0,Mid Cap 2-10B,-8.392782207,32.94762485,9.560853201,-9.960816663,2020-12-31,-0.13106363125816511,2.92682,31.74995,61.34287,223.050942865184,44.8328075709779,14.17066,,,22.8921891160169,24.4298098385965,3.24397434957402,0.551671924290221,5.24654076932897,15.95447,1.72249,2.10996,,45.4592329398971,-1.43640939649159,2.68425688044954,2.71110223642173,1.76079,1.04855781952898,2.14457260765146,,1.18310049724318,,0.12091
327,US00847J1051,AGYS,Agilysys Inc,Technology,Software & IT Services,Enterprise Software,United States of America,869625538.0,Small Cap 300M-2B,-4.861649858,34.02550091,70.87784487,-4.142782699,2020-03-31,0.716840406862677,1.34549,0.0317,0.06829,,,4.88999,0.332,1.611,44.2275723953695,48.5916067924528,2.1627235305461,,1.84411446551222,47.17493,,-21.19161,-0.162,,,5.4946139622418,2.41352538303153,1.2895,-21.4154824879853,-39.5256962855104,,-39.5256962855104,0.141,0.15518
328,US57636Q1040,MA,Mastercard Inc,Technology,Software & IT Services,Internet Security & Transactions Services,United States of America,315320000000.0,Large Cap >10B,-8.645998723,8.018207527,2.507208372,-11.27702672,2020-12-31,-0.14727364543932128,1.61332,37.73225,195.31443,396.063459114834,25.2484791764155,57.08124,,,40.994336353918,72.9066450244594,,0.747515208235845,1.81462911888227,,21.45789,41.89922,,55.3796314540916,-2.87178544755842,,,,20.4106972301815,104.379680885705,,78.0253988928688,,0.21635
329,US7766961061,ROP,Roper Technologies Inc,Technology,Software & IT Services,Application Software,United States of America,41205000000.0,Large Cap >10B,-6.238491716,6.098349225,-9.889776137,-8.737551611,2020-12-31,-0.5183548694164262,0.71686,39.81927,91.28514,431.22715167831,23.1896344213962,35.31508,,,27.9049265349096,43.1563474395769,9.85464820674314,0.768103655786038,3.2396811207462,64.10233,6.53769,17.18261,,47.9796012403087,-1.02991813698803,4.313959028347,8.2441448499213,0.6357,4.50803038897605,9.51045729707536,6.44352802801758,7.30501701808058,,-0.02881
330,US4435106079,HUBB,Hubbell Inc,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Electrical Components & Equipment (NEC),United States of America,8439194421.0,Mid Cap 2-10B,-0.7589769756,8.227288063,17.60154548,-0.7589769756,2020-12-31,0.4322837169503857,1.67433,31.26782,76.24437,,,16.80124,,,13.9915197180719,27.471345108096,2.35074912033445,,,29.19255,9.04975,8.50454,,,,,,1.03385,7.12848289464463,17.4852505538822,11.0592269619566,,,0.12574
331,US3999091008,GGAL,Grupo Financiero Galicia SA,Financials,Banking Services,Banks (NEC),Argentina,1520992873.0,Small Cap 300M-2B,-18.29134721,18.22503962,-38.79943423,-14.64530892,2019-12-31,-0.8016821337042547,,9.81935,58.78448,,4.81265327398318,-3.65039,-1.184,0.684,,,0.858964023933996,0.951873467260168,,,-0.06284,67.02739,-1.461,,0.039171784244117,1.25391820529507,1.75628493482493,,6.08193962661729,46.1421185341063,25.2113044693707,43.9214583557895,-0.28,
332,US74735M1080,QIWI,Qiwi PLC,Industrials,Professional & Commercial Services,Transaction & Payment Services,Cyprus,607688728.0,Small Cap 300M-2B,-5.278592375,-35.69210459,-46.86171042,-5.922330097,2019-12-31,-0.10226548477146971,,,,142.452830188685,,,,,4.2636845547155,8.02465575234231,0.927396915043398,,10.1780609788514,,,,,13.7575236457438,0.544184820482432,2.74701496243429,1.98269472342209,,6.39078097162361,18.4396701614497,17.6526478826345,5.49526594215439,,
333,IL0010826506,RADA,Rada Electronic Industries Ltd,Technology,Communications & Networking,Broadcasting Equipment,Israel,443114816.0,Small Cap 300M-2B,4.098360656,60.50552923,58.99843506,4.205128205,2019-12-31,0.2845786377321256,2.9594,0.0,0.0,,,-1.98507,-1.913,-3.985,,,4.1861015648192,,-4.04662725466275,35.95001,-55.34211,-5.01681,,,,4.81867305442594,4.46622101103066,1.90001,-3.75621743499666,-4.57953200291751,,-4.57953200291751,0.581,0.48995
334,US26927E1047,EVOP,EVO Payments Inc,Industrials,Professional & Commercial Services,Transaction & Payment Services,United States of America,1897510028.0,Small Cap 300M-2B,-12.9313614,5.514705882,-1.034482761,-14.9944465,2019-12-31,-0.45656289211441287,1.10639,43.07397,,,,25.00875,0.897,-0.557,27.6400944898631,,6.91244181352387,,-1.95939345300943,61.21191,0.66865,-4.81002,-2.271,,,,1.77888865222386,1.09188,-1.44199363673869,,,,-0.14,0.03923
335,US7433151039,PGR,Progressive Corp,Financials,Insurance,Insurance - Automobile,United States of America,51058000000.0,Large Cap >10B,-6.414763256,0.3990970514,2.92344978,-7.541041894,2020-12-31,0.2316156068036612,,8.41848,31.66986,198.003124694854,,,,,,,1.4845884092734,,,,34.05622,13.37911,,10.2333446830178,0.233202178379786,3.39608721844383,1.36267535373293,,9.58807868658483,37.5783889681282,28.8516745425601,18.5997041488654,,
336,US4698141078,J,Jacobs Engineering Group Inc,Industrials,Construction & Engineering,Construction & Engineering (NEC),United States of America,13123000000.0,Large Cap >10B,-5.847244241,6.576586087,16.66254421,-7.342143906,2020-10-02,0.9293103606838566,1.54324,13.57369,28.63792,354.068714284285,28.2431053537561,7.68562,0.151,0.135,12.2128318719946,23.3822478690018,0.93863171929778,0.71756894646244,5.50528088020124,19.06592,13.84228,2.84428,0.168,18.4236661218808,2.62365741746981,2.10248217385591,0.92191715839382,,3.24039100705276,6.13662852894214,7.33067015283029,4.40345406834436,0.065,0.12935
337,US44980X1090,IPGP,IPG Photonics Corp,Technology,Electronic Equipment & Parts,Electronic Components,United States of America,11909000000.0,Large Cap >10B,0.8531190756,19.44934509,23.10192838,-0.1608650967,2019-12-31,-0.13328482892306887,,1.52752,1.73607,,0.0,29.44954,-0.352,-0.56,16.8987415469419,34.4350606890018,4.97660091314267,1.0,2.4349721766059,46.11424,,13.71243,-0.438,34.7568316888674,-0.772440489989626,3.19867285535849,5.93523554653536,,6.7960367103082,7.82388891999911,7.67645052008576,7.82388891999911,-0.1,0.62434
338,GB00BNK03D49,LXFR,Luxfer Holdings PLC,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrial Machinery & Equipment (NEC),United Kingdom,454935971.0,Small Cap 300M-2B,6.66439588,29.07637011,24.12766425,1.012871859,2019-12-31,0.8809951051955242,2.37973,23.41788,52.40826,22.7941176470588,,13.52875,-0.188,-0.877,9.81588413883333,,1.32796628710259,,-1.56942736082073,24.35175,9.51064,0.69899,-0.186,14.5793950850662,-1.89869799925663,3.0779259003058,1.1637244929876,1.1027,0.775872856964085,1.7284638974073,1.64626723807284,-5.85447449121829,-0.091,0.26159
339,US00846U1016,A,Agilent Technologies Inc,Healthcare,Healthcare Equipment & Supplies,Advanced Medical Equipment & Technology (NEC),United States of America,36874000000.0,Large Cap >10B,2.675511264,17.9832404,24.17776138,1.583679512,2020-10-31,-0.027526906581941332,2.32788,24.504,48.4096,323.873873873874,30.8762169680111,21.8393,-0.057,-0.316,27.7815871673671,55.8505700640517,6.06730298504402,0.691237830319889,2.5178889416327,53.13729,11.0,13.46694,-0.139,33.3529354111536,-1.40301151345929,6.41073944855961,5.96592620340888,1.83708,7.53708265632371,14.9464712607837,10.9210495685353,10.3315663652427,0.034,0.20235
340,US2074101013,CNMD,Conmed Corp,Healthcare,Healthcare Equipment & Supplies,"Medical Equipment, Supplies & Distribution (NEC)",United States of America,3200518928.0,Mid Cap 2-10B,-0.1695066464,34.88006956,30.04379773,-0.08928571429,2020-12-31,,,,,,,14.77508,,,,,,,,53.37065,1.24408,1.10347,,84.5646806550743,-5.1976762465912,,3.82623173971168,,,,,,,
341,US6153942023,MOGa,Moog Inc,Industrials,Aerospace & Defense,Aerospace & Defense (NEC),United States of America,2371944983.0,Mid Cap 2-10B,-6.600075863,20.93159971,37.13302048,-6.84741488,2020-10-03,0.5507289743660049,2.27075,29.26139,75.93403,36.5132883776279,,10.44005,-0.143,-0.945,10.0901066264208,18.3399957777201,1.05341259703926,,8.5436967105001,25.78201,5.50626,0.31911,-0.195,12.477452075156,-2.56984071163972,1.696066134405185,0.774578622144012,1.3939,0.290375434459063,0.717581007528949,3.46795998283702,-1.24767887294957,-0.007,0.27991
342,US7140461093,PKI,PerkinElmer Inc,Healthcare,Healthcare Equipment & Supplies,Advanced Medical Equipment & Technology (NEC),United States of America,16468000000.0,Large Cap >10B,5.226606429,14.24673016,23.05405967,2.535445135,2021-01-03,-0.0930121923662825,1.3447,24.85116,53.29014,,4.30613129001865,32.92123,,,14.1785778161702,22.5371737353199,4.66776153229996,0.956938687099814,5.06503976962481,55.77635,20.09211,19.24787,,21.4932973863551,0.10209635953943,4.30153167501044,4.25199094837215,1.0424,10.0090110214897,22.2343218742232,14.4681168822285,21.2768827828738,,0.07325
343,US6362744095,NGG,National Grid PLC,Utilities,Multiline Utilities,Multiline Utilities,United Kingdom,41336000000.0,Large Cap >10B,-1.941583657,-1.308996307,-0.8625803073,-1.609351177,2017-03-31,-0.5536248336456377,,,,117.532467532468,,34.94513,0.002,-0.174,10.2275109093064,,3.57401678200836,,0.036883585096949,72.32458,4.26328,12.03858,0.012,13.9488304428733,-1.07638231666876,1.71635577032054,2.2572417254944,,2.90124545177681,10.6712260118504,18.7481634464991,1.59184034430917,-0.016,
344,US6834161019,OOMA,Ooma Inc,Technology,Telecommunications Services,Wireless Telecommunications Services (NEC),United States of America,305769000.0,Small Cap 300M-2B,-7.295251204,-4.80565371,-13.59846055,-6.458333333,2020-01-31,,1.02441,,,,,-8.60924,0.021,0.214,,,1.68159479659351,,-3.92076498906266,60.46651,,-12.40229,0.053,,,10.0271106189622,1.82330412400309,0.84586,-23.6492053409141,-61.179265237057,,-61.179265237057,0.173,0.01419
345,US63016Q1022,NK,NantKwest Inc,Healthcare,Biotechnology & Medical Research,Bio Therapeutic Drugs,United States of America,2057323471.0,Mid Cap 2-10B,41.06875934,134.7636816,43.9740656,41.59789947,2019-12-31,-0.9510431589537972,4.82369,0.52892,0.62728,,,,-0.338,-0.426,,,,,-18.3567725592026,,,,-0.311,,,3.09221154316858,,,-40.4764468288661,-49.3383579878883,,-49.3383579878883,-0.085,0.30881
346,US0043971052,ARAY,Accuray Inc,Healthcare,Healthcare Equipment & Supplies,Advanced Medical Equipment & Technology (NEC),United States of America,458917785.0,Small Cap 300M-2B,19.90291262,77.0609319,117.6211454,18.46522782,2020-06-30,0.40932695792183105,1.96129,41.60191,,,0.0,5.24381,1.286,-1.225,13.9644796205179,,0.732270167707767,1.0,-2.82499864512043,39.099,0.69353,0.9994,,48.070092351409,0.392470742707414,2.90864282439248,0.480415874524715,1.22407,0.823800892899426,6.74325586312618,6.56034949879768,6.74325586312618,-0.086,0.35691
347,US1271903049,CACI,CACI International Inc,Technology,Software & IT Services,IT Services & Consulting (NEC),United States of America,6086286708.0,Mid Cap 2-10B,-3.143946999,18.50650946,18.63473172,-3.252717282,2020-06-30,0.8253240300017306,1.41178,25.33958,52.77247,,0.0,9.93671,0.226,0.218,11.8547735968641,15.0941609492789,1.1779745036977,1.0,8.07647753102899,33.04693,,5.62024,0.211,17.1929401766858,0.786914750689715,2.04502525542071,0.966284303506862,1.32706,6.04893165740219,12.776139760191,7.93559499930143,12.776139760191,0.147,0.05715
348,US6710441055,OSIS,OSI Systems Inc,Technology,Electronic Equipment & Parts,Electronic Equipment & Parts (NEC),United States of America,1617849432.0,Small Cap 300M-2B,-2.880569641,10.99876695,30.19959502,-3.432739755,2020-06-30,0.5682131625360569,1.87127,25.77749,57.1523,,0.0,13.81835,-0.04,0.169,9.900542304255,16.7159638741316,1.36809123875257,1.0,6.87407080869896,36.07402,11.89215,6.45362,-0.002,16.985447222001,1.09252356650968,2.34975010294323,1.19061030287022,1.14051,5.94077930690119,13.3914771963886,9.28379354012194,13.3914771963886,-0.014,0.22672
349,US2325171021,CYBE,CyberOptics Corp,Technology,Electronic Equipment & Parts,Electronic Components,United States of America,175490806.0,Micro cap,-0.370675453,0.9178139341,-38.05377721,6.610841781,2019-12-31,0.42359815047595917,4.39149,0.0,0.0,,0.0,6.3581,-0.357,-0.728,31.0205142303609,,1.97231489495976,1.0,0.506459759374675,44.15571,,1.30604,-0.721,,-2.36803853659773,2.25466973013885,2.25225790121999,2.94648,1.08785023085194,1.35155192735845,1.35155192735845,1.35155192735845,-0.084,0.50368
